feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
amihud,15618,ERIE,2013-12-30,9,2013-12-13,426837203850.06116,1059748172524.482
amihud,15613,ERIE,2013-12-20,14,2013-12-13,426837203850.06116,1059748172524.482
amihud,15614,ERIE,2013-12-23,13,2013-12-13,426837203850.06116,1059748172524.482
amihud,15616,ERIE,2013-12-26,11,2013-12-13,426837203850.06116,1059748172524.482
amihud,15612,ERIE,2013-12-19,15,2013-12-13,426837203850.06116,1059748172524.482
amihud,15609,ERIE,2013-12-16,18,2013-12-13,426837203850.06116,1059748172524.482
amihud,15610,ERIE,2013-12-17,17,2013-12-13,426837203850.06116,1059748172524.482
amihud,15615,ERIE,2013-12-24,12,2013-12-13,426837203850.06116,1059748172524.482
amihud,15617,ERIE,2013-12-27,10,2013-12-13,426837203850.06116,1059748172524.482
amihud,15611,ERIE,2013-12-18,16,2013-12-13,426837203850.06116,1059748172524.482
