feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
dist_52w_low,45742,TSLA,2013-10-17,6,2013-09-30,6.075374550128712,20.214126526585233
dist_52w_low,45738,TSLA,2013-10-11,10,2013-09-30,6.075374550128712,20.214126526585233
dist_52w_low,45730,TSLA,2013-10-01,18,2013-09-30,6.075374550128712,20.214126526585233
dist_52w_low,45737,TSLA,2013-10-10,11,2013-09-30,6.075374550128712,20.214126526585233
dist_52w_low,45739,TSLA,2013-10-14,9,2013-09-30,6.075374550128712,20.214126526585233
dist_52w_low,45731,TSLA,2013-10-02,17,2013-09-30,6.075374550128712,20.214126526585233
dist_52w_low,45729,TSLA,2013-09-30,19,2013-09-30,6.075374550128712,20.214126526585233
dist_52w_low,45736,TSLA,2013-10-09,12,2013-09-30,6.075374550128712,20.214126526585233
dist_52w_low,45735,TSLA,2013-10-08,13,2013-09-30,6.075374550128712,20.214126526585233
dist_52w_low,45733,TSLA,2013-10-04,15,2013-09-30,6.075374550128712,20.214126526585233
