feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
hl_range,6274,BR,2013-11-07,19,2013-11-07,4.690389968291743,11.135729715314529
hl_range,6275,BR,2013-11-08,18,2013-11-07,4.690389968291743,11.135729715314529
hl_range,6276,BR,2013-11-11,17,2013-11-07,4.690389968291743,11.135729715314529
hl_range,6291,BR,2013-12-03,2,2013-11-07,4.690389968291743,11.135729715314529
hl_range,6290,BR,2013-12-02,3,2013-11-07,4.690389968291743,11.135729715314529
hl_range,6278,BR,2013-11-13,15,2013-11-07,4.690389968291743,11.135729715314529
hl_range,6277,BR,2013-11-12,16,2013-11-07,4.690389968291743,11.135729715314529
hl_range,6279,BR,2013-11-14,14,2013-11-07,4.690389968291743,11.135729715314529
hl_range,6280,BR,2013-11-15,13,2013-11-07,4.690389968291743,11.135729715314529
hl_range,6282,BR,2013-11-19,11,2013-11-07,4.690389968291743,11.135729715314529
