date,uWN_ls,cWN_ls,uWN_long,cWN_long,spy
2013-08-16,1.00051,0.9985241,0.99446833,0.9922032,0.9966883503190274
2013-08-19,1.0022376,0.99932736,1.006033,1.0018785,0.9902973143760034
2013-08-20,1.0006862,0.99815315,0.9994522,0.9964696,0.9951539999069637
2013-08-21,0.9989976,0.99639815,1.0075656,1.0037438,0.9890043141723208
2013-08-22,0.99644655,0.9949614,1.0076561,1.0048989,0.997978248897796
2013-08-23,0.9978507,0.99468464,1.0064442,1.0017269,1.00133774753211
2013-08-26,1.0020041,0.9994657,0.99154246,0.9873284,0.997605340961817
2013-08-27,0.9991951,0.99850273,0.9896801,0.9881077,0.9814293740373862
2013-08-28,0.9997378,0.99880564,0.995375,0.99392295,0.9849079612570866
2013-08-29,0.99806166,0.99750936,0.98700285,0.98704547,0.9864692439938189
2013-08-30,0.9948639,0.9979251,0.9855131,0.99056166,0.9833393601995696
2013-09-03,0.99473506,0.99761814,0.99362075,0.9998416,0.9877763500888133
2013-09-04,0.9963211,0.9968616,0.9959074,1.0003413,0.9959143301161133
2013-09-05,0.9944773,0.9985573,0.994107,1.0026288,0.9971752542775912
2013-09-06,0.9947255,0.99802923,1.008214,1.0153528,0.9976555826799289
2013-09-09,0.9931074,0.99620175,1.0166584,1.0227098,1.0071641541732461
2013-09-10,0.99422365,0.99795234,1.0168664,1.0265752,1.014587212749883
2013-09-11,0.9952052,0.9982954,1.013939,1.0222462,1.0177661795118798
2013-09-12,0.9948929,0.9976993,1.0162576,1.0260055,1.0150584811217296
2013-09-13,0.99802774,0.9968065,1.0251117,1.0307773,1.0173395803331313
2013-09-16,0.997286,0.9945875,1.0296298,1.0346535,1.0232103808921544
2013-09-17,0.999958,0.9985996,1.0471752,1.0545398,1.0277662103546232
2013-09-18,1.0002362,0.99789447,1.0446446,1.0537348,1.0395935402320613
2013-09-19,0.9993102,0.99675983,1.036054,1.0455407,1.0378498764774629
2013-09-20,1.0006098,0.9974419,1.0337915,1.0407518,1.0305683813660869
2013-09-23,0.99980354,0.9966168,1.0347651,1.0412068,1.0257881579974548
2013-09-24,0.99936,0.9961231,1.0342283,1.0412296,1.023370260466141
2013-09-25,0.9990711,0.9944347,1.0376282,1.0440692,1.0204081138078152
2013-09-26,0.9985098,0.9946837,1.0319275,1.0394187,1.0243249304469462
2013-09-27,0.9992881,0.9925906,1.0306813,1.0351384,1.0196051236795323
2013-09-30,0.99883676,0.9914026,1.0403908,1.0455071,1.0141579550036808
2013-10-01,0.99841326,0.992203,1.038597,1.0473331,1.0221544592060203
2013-10-02,0.9976285,0.9916678,1.0277184,1.0358492,1.021189054477633
2013-10-03,0.99773544,0.992734,1.0354874,1.0446265,1.0117282237230092
2013-11-14,0.99636996,0.9923324,1.0379729,1.0482533,1.0167639181286288
2013-11-15,0.99894774,0.99278545,1.0334125,1.0429323,1.0211777658327073
2013-11-18,1.000364,0.992622,1.0303421,1.0376122,1.0175985439427926
2013-11-19,0.9991034,0.9931178,1.0251523,1.0365064,1.015384396691496
2013-11-20,0.99615,0.9923965,1.0316342,1.0472292,1.0122029477836332
2013-11-21,0.9970842,0.99182606,1.0383343,1.0494372,1.0203373887697185
2013-11-22,0.99622095,0.98987514,1.0357473,1.0464754,1.025429128649134
2013-11-25,0.9952966,0.99008423,1.0365893,1.0473143,1.02440758957906
2013-11-26,0.9940878,0.9917196,1.0389738,1.0517248,1.0246907651927097
2013-11-27,0.99455357,0.99195296,1.0375991,1.0490955,1.0271834269580173
