date,uWN_ls,cWN_ls,LSTM_ls,uWN_long,cWN_long,LSTM_long,spy
2013-08-16,1.0005084,0.99876726,0.9978153,0.99426603,0.99266416,0.99232817,0.9966883503190274
2013-08-19,1.0020037,0.9992822,0.99655473,1.0057222,1.0019718,1.0020036,0.9902973143760034
2013-08-20,1.0006613,0.9978061,0.9942206,0.999095,0.9958587,0.9970368,0.9951539999069637
2013-08-21,0.9987202,0.99570954,0.9945825,1.0070562,1.0029249,1.0071077,0.9890043141723208
2013-08-22,0.99615717,0.9943061,0.9953887,1.0073235,1.0041575,1.0121732,0.997978248897796
2013-08-23,0.997557,0.99386835,0.99458915,1.0061222,1.0006624,1.0082006,1.00133774753211
2013-08-26,1.001714,0.99823666,1.001628,0.99058485,0.9857299,0.99801487,0.997605340961817
2013-08-27,0.99922407,0.9978269,1.0002402,0.9885594,0.98730975,0.99753505,0.9814293740373862
2013-08-28,0.9996755,0.9978548,0.99956226,0.99397314,0.9926693,1.0011841,0.9849079612570866
2013-08-29,0.99762666,0.99617136,0.99882555,0.9854707,0.9853009,0.9928003,0.9864692439938189
2013-08-30,0.9946681,0.9969277,0.9968993,0.98468155,0.98903626,0.994459,0.9833393601995696
2013-09-03,0.9943295,0.99749506,0.9939671,0.9925101,0.9984035,0.9990751,0.9877763500888133
2013-09-04,0.9961202,0.99636704,0.99344105,0.99508995,0.99826634,1.0000756,0.9959143301161133
2013-09-05,0.99412715,0.9978819,0.9965935,0.99353564,1.0005834,1.004471,0.9971752542775912
2013-09-06,0.99449193,0.9976191,0.9974759,1.0077646,1.0137919,1.0196713,0.9976555826799289
2013-09-09,0.99241334,0.9955905,0.9930066,1.0156615,1.0209767,1.0248816,1.0071641541732461
2013-09-10,0.9928151,0.99716806,0.9948409,1.0154998,1.0243295,1.0275952,1.014587212749883
2013-09-11,0.99373055,0.9979784,0.99620605,1.012518,1.0209428,1.0236301,1.0177661795118798
2013-09-12,0.99302685,0.9974848,0.9979651,1.014531,1.0247324,1.0273919,1.0150584811217296
2013-09-13,0.9959758,0.9965148,0.9984437,1.0232892,1.0293325,1.0338868,1.0173395803331313
2013-09-16,0.9947499,0.99438846,0.9971306,1.0277458,1.0330629,1.0387303,1.0232103808921544
2013-09-17,0.99746394,0.99843067,1.0016385,1.0450362,1.0529845,1.0575488,1.0277662103546232
2013-09-18,0.9974851,0.9976347,1.00157,1.0423392,1.0523032,1.0557934,1.0395935402320613
2013-09-19,0.99693155,0.99671793,1.0024867,1.0337574,1.0442187,1.0498767,1.0378498764774629
2013-09-20,0.9982797,0.99758875,0.99974793,1.0314155,1.0397661,1.042866,1.0305683813660869
2013-09-23,0.997431,0.9971547,0.9984264,1.0323102,1.0407201,1.0430069,1.0257881579974548
2013-09-24,0.99689496,0.9965415,0.99812025,1.0315957,1.0405262,1.0430682,1.023370260466141
2013-09-25,0.99642557,0.9949194,0.9970764,1.0349635,1.0434552,1.0469283,1.0204081138078152
2013-09-26,0.9959927,0.99511594,0.9968919,1.0293629,1.038586,1.0407732,1.0243249304469462
