name,cum_return_pct,ann_return_pct,ann_vol_pct,sharpe,max_drawdown_pct,hit_rate_pct,n_days
uWN L/S net,-83.19,-23.64,7.33,-3.224,-83.28,31.15,1666
uWN L/S gross,25.37,3.48,7.31,0.476,-10.78,51.38,1666
uWN Long net,-78.45,-20.72,24.24,-0.855,-80.91,49.04,1666
uWN Long gross,54.37,6.79,24.21,0.28,-43.94,54.8,1666
cWN L/S net,-79.44,-21.28,8.72,-2.44,-80.16,33.49,1666
cWN L/S gross,49.88,6.31,8.7,0.726,-21.0,51.26,1666
cWN Long net,-77.57,-20.24,25.63,-0.79,-80.61,48.32,1666
cWN Long gross,56.92,7.05,25.61,0.275,-56.07,54.5,1666
LSTM L/S net,-70.21,-16.74,6.69,-2.503,-70.27,38.66,1666
LSTM L/S gross,-3.71,-0.57,6.67,-0.085,-15.44,50.6,1666
LSTM Long net,-65.59,-14.9,24.08,-0.619,-68.55,51.26,1666
LSTM Long gross,9.05,1.32,24.06,0.055,-52.65,54.56,1666
